Region,Category,Sub-Category,Year,Month,Sales
Central,Furniture,Furnishings,2017,June,545.342
Central,Furniture,Furnishings,2017,March,175.78
Central,Furniture,Furnishings,2017,May,159.772
Central,Furniture,Furnishings,2017,November,463.93199999999996
Central,Furniture,Furnishings,2017,October,386.118
Central,Furniture,Furnishings,2017,September,1782.782
Central,Furniture,Furnishings,2018,April,641.8079999999999
Central,Furniture,Furnishings,2018,August,203.04399999999998
Central,Furniture,Furnishings,2018,December,561.2819999999999
Central,Furniture,Furnishings,2018,February,33.876000000000005
Central,Furniture,Furnishings,2018,January,176.0
Central,Furniture,Furnishings,2018,July,867.2700000000001
Central,Furniture,Furnishings,2018,June,603.8420000000001
Central,Furniture,Furnishings,2018,March,249.774
Central,Furniture,Furnishings,2018,May,581.46
Central,Furniture,Furnishings,2018,November,672.504
Central,Furniture,Furnishings,2018,October,184.40800000000002
Central,Furniture,Furnishings,2018,September,264.884
Central,Furniture,Tables,2015,April,1145.69
Central,Furniture,Tables,2015,August,489.23
Central,Furniture,Tables,2015,December,214.95
Central,Furniture,Tables,2015,June,368.853
Central,Furniture,Tables,2015,March,2452.0699999999997
Central,Furniture,Tables,2015,May,355.455
Central,Furniture,Tables,2015,November,1510.835
Central,Furniture,Tables,2015,September,1248.395
Central,Furniture,Tables,2016,April,821.3520000000001
Central,Furniture,Tables,2016,August,1644.716
Central,Furniture,Tables,2016,December,801.96
Central,Furniture,Tables,2016,January,102.438
Central,Furniture,Tables,2016,June,796.425
Central,Furniture,Tables,2016,May,244.006
Central,Furniture,Tables,2016,November,2099.002
Central,Furniture,Tables,2016,October,347.361
Central,Furniture,Tables,2017,August,447.84
Central,Furniture,Tables,2017,December,2234.9
Central,Furniture,Tables,2017,January,2218.95
Central,Furniture,Tables,2017,June,870.1650000000001
Central,Furniture,Tables,2017,March,2137.993
Central,Furniture,Tables,2017,November,5110.678
Central,Furniture,Tables,2017,September,902.4000000000001
Central,Furniture,Tables,2018,December,1994.308
Central,Furniture,Tables,2018,February,480.96
Central,Furniture,Tables,2018,January,1193.7849999999999
Central,Furniture,Tables,2018,July,422.52
Central,Furniture,Tables,2018,June,873.724
Central,Furniture,Tables,2018,March,933.408
Central,Furniture,Tables,2018,November,1322.916
Central,Furniture,Tables,2018,October,2089.871
Central,Furniture,Tables,2018,September,1277.815
Central,Office Supplies,Appliances,2015,August,167.535
Central,Office Supplies,Appliances,2015,December,263.47
Central,Office Supplies,Appliances,2015,February,7.96
Central,Office Supplies,Appliances,2015,January,247.716
Central,Office Supplies,Appliances,2015,July,9.828
Central,Office Supplies,Appliances,2015,June,2040.67
Central,Office Supplies,Appliances,2015,March,270.552
Central,Office Supplies,Appliances,2015,May,75.6
Central,Office Supplies,Appliances,2015,November,280.056
Central,Office Supplies,Appliances,2015,October,3.16
Central,Office Supplies,Appliances,2015,September,292.658
Central,Office Supplies,Appliances,2016,April,1626.868
Central,Office Supplies,Appliances,2016,August,5.768
Central,Office Supplies,Appliances,2016,December,53.088
Central,Office Supplies,Appliances,2016,July,81.416
Central,Office Supplies,Appliances,2016,June,143.128
Central,Office Supplies,Appliances,2016,March,241.67
Central,Office Supplies,Appliances,2016,May,942.238
Central,Office Supplies,Appliances,2016,November,1507.856
Central,Office Supplies,Appliances,2016,October,372.47700000000003
Central,Office Supplies,Appliances,2017,April,48.792
Central,Office Supplies,Appliances,2017,August,58.924
Central,Office Supplies,Appliances,2017,December,220.233
Central,Office Supplies,Appliances,2017,February,582.384
Central,Office Supplies,Appliances,2017,July,283.14
Central,Office Supplies,Appliances,2017,June,73.096
Central,Office Supplies,Appliances,2017,March,209.478
Central,Office Supplies,Appliances,2017,May,494.40999999999997
Central,Office Supplies,Appliances,2017,November,259.932
Central,Office Supplies,Appliances,2017,October,2796.18
Central,Office Supplies,Appliances,2017,September,988.442
Central,Office Supplies,Appliances,2018,April,97.264
Central,Office Supplies,Appliances,2018,August,769.194
Central,Office Supplies,Appliances,2018,December,2591.528
Central,Office Supplies,Appliances,2018,February,116.742
Central,Office Supplies,Appliances,2018,January,20.656
Central,Office Supplies,Appliances,2018,July,768.284
Central,Office Supplies,Appliances,2018,June,388.66400000000004
Central,Office Supplies,Appliances,2018,March,123.476
Central,Office Supplies,Appliances,2018,May,1277.784
Central,Office Supplies,Appliances,2018,November,174.82600000000002
Central,Office Supplies,Appliances,2018,October,61.2
Central,Office Supplies,Appliances,2018,September,138.49
Central,Office Supplies,Art,2015,April,128.878
Central,Office Supplies,Art,2015,December,102.624
Central,Office Supplies,Art,2015,February,54.208
Central,Office Supplies,Art,2015,January,53.264
Central,Office Supplies,Art,2015,July,22.288
Central,Office Supplies,Art,2015,June,79.136
Central,Office Supplies,Art,2015,March,40.408
Central,Office Supplies,Art,2015,May,51.232
Central,Office Supplies,Art,2015,November,226.052
Central,Office Supplies,Art,2015,September,63.864000000000004
Central,Office Supplies,Art,2016,April,182.022
Central,Office Supplies,Art,2016,August,31.99
Central,Office Supplies,Art,2016,December,146.004
Central,Office Supplies,Art,2016,February,85.12
Central,Office Supplies,Art,2016,January,7.056
Central,Office Supplies,Art,2016,July,6.912
Central,Office Supplies,Art,2016,March,80.468
Central,Office Supplies,Art,2016,May,183.954
Central,Office Supplies,Art,2016,November,201.724
Central,Office Supplies,Art,2016,October,11.456
Central,Office Supplies,Art,2016,September,195.454
Central,Office Supplies,Art,2017,April,47.056
Central,Office Supplies,Art,2017,August,8.64
Central,Office Supplies,Art,2017,December,46.224000000000004
Central,Office Supplies,Art,2017,July,411.424
Central,Office Supplies,Art,2017,June,23.976
Central,Office Supplies,Art,2017,March,174.18
Central,Office Supplies,Art,2017,May,155.39600000000002
Central,Office Supplies,Art,2017,November,212.212
Central,Office Supplies,Art,2017,October,106.96600000000001
Central,Office Supplies,Art,2017,September,333.876
Central,Office Supplies,Art,2018,April,39.336
Central,Office Supplies,Art,2018,August,23.152
Central,Office Supplies,Art,2018,December,222.476
Central,Office Supplies,Art,2018,February,217.15200000000002
Central,Office Supplies,Art,2018,January,311.93600000000004
Central,Office Supplies,Art,2018,July,175.288
Central,Office Supplies,Art,2018,June,44.12
Central,Office Supplies,Art,2018,March,136.536
Central,Office Supplies,Art,2018,May,237.21599999999998
Central,Office Supplies,Art,2018,November,543.268
Central,Office Supplies,Art,2018,October,210.452
Central,Office Supplies,Art,2018,September,111.19200000000001
Central,Office Supplies,Binders,2015,April,40.2
Central,Office Supplies,Binders,2015,August,95.724
Central,Office Supplies,Binders,2015,December,1367.194
Central,Office Supplies,Binders,2015,February,84.85
Central,Office Supplies,Binders,2015,January,73.4
Central,Office Supplies,Binders,2015,July,2234.224
Central,Office Supplies,Binders,2015,June,187.57
Central,Office Supplies,Binders,2015,March,97.414
Central,Office Supplies,Binders,2015,May,336.18
Central,Office Supplies,Binders,2015,November,1040.4460000000001
Central,Office Supplies,Binders,2015,October,52.434
Central,Office Supplies,Binders,2015,September,10261.302000000001
Central,Office Supplies,Binders,2016,April,4235.44
Central,Office Supplies,Binders,2016,August,118.62400000000001
Central,Office Supplies,Binders,2016,December,335.188
Central,Office Supplies,Binders,2016,February,2.934
Central,Office Supplies,Binders,2016,January,65.30000000000001
Central,Office Supplies,Binders,2016,July,65.376
Central,Office Supplies,Binders,2016,June,416.184
Central,Office Supplies,Binders,2016,March,37.516
Central,Office Supplies,Binders,2016,May,216.44
Central,Office Supplies,Binders,2016,November,234.79000000000002
Central,Office Supplies,Binders,2016,October,74.36
Central,Office Supplies,Binders,2016,September,88.436
Central,Office Supplies,Binders,2017,April,1138.9199999999998
Central,Office Supplies,Binders,2017,August,163.252
Central,Office Supplies,Binders,2017,December,10193.642
Central,Office Supplies,Binders,2017,February,56.82
Central,Office Supplies,Binders,2017,January,119.658
Central,Office Supplies,Binders,2017,July,25.432
Central,Office Supplies,Binders,2017,June,19.996
Central,Office Supplies,Binders,2017,March,160.88400000000001
Central,Office Supplies,Binders,2017,May,45.754
Central,Office Supplies,Binders,2017,November,499.39
Central,Office Supplies,Binders,2017,October,927.086
Central,Office Supplies,Binders,2017,September,666.768
Central,Office Supplies,Binders,2018,April,770.1560000000001
Central,Office Supplies,Binders,2018,August,175.72199999999998
Central,Office Supplies,Binders,2018,December,2229.898
Central,Office Supplies,Binders,2018,February,498.56399999999996
Central,Office Supplies,Binders,2018,January,6440.206
Central,Office Supplies,Binders,2018,July,1180.798
Central,Office Supplies,Binders,2018,June,294.504
Central,Office Supplies,Binders,2018,March,1265.586
Central,Office Supplies,Binders,2018,May,1103.364
Central,Office Supplies,Binders,2018,November,2508.3720000000003
Central,Office Supplies,Binders,2018,October,2072.904
Central,Office Supplies,Binders,2018,September,2545.81
Central,Office Supplies,Envelopes,2015,April,149.352
Central,Office Supplies,Envelopes,2015,August,38.34
Central,Office Supplies,Envelopes,2015,December,62.552
Central,Office Supplies,Envelopes,2015,July,87.92
Central,Office Supplies,Envelopes,2015,June,29.264
Central,Office Supplies,Envelopes,2015,March,341.84000000000003
Central,Office Supplies,Envelopes,2015,May,56.064
Central,Office Supplies,Envelopes,2015,November,830.0899999999999
Central,Office Supplies,Envelopes,2015,September,3.264
Central,Office Supplies,Envelopes,2016,April,180.96
Central,Office Supplies,Envelopes,2016,December,125.552
Central,Office Supplies,Envelopes,2016,July,106.75
Central,Office Supplies,Envelopes,2016,June,28.752
Central,Office Supplies,Envelopes,2016,March,101.88
Central,Office Supplies,Envelopes,2016,November,256.716
Central,Office Supplies,Envelopes,2016,October,62.424
Central,Office Supplies,Envelopes,2016,September,7.824
Central,Office Supplies,Envelopes,2017,August,81.54
Central,Office Supplies,Envelopes,2017,July,20.936
Central,Office Supplies,Envelopes,2017,March,332.304
Central,Office Supplies,Envelopes,2017,May,7.072
Central,Office Supplies,Envelopes,2017,November,328.488
Central,Office Supplies,Envelopes,2017,October,75.4
Central,Office Supplies,Envelopes,2017,September,25.488
Central,Office Supplies,Envelopes,2018,April,28.4
Central,Office Supplies,Envelopes,2018,August,85.36
Central,Office Supplies,Envelopes,2018,December,7.28
Central,Office Supplies,Envelopes,2018,January,268.576
Central,Office Supplies,Envelopes,2018,March,325.86
Central,Office Supplies,Envelopes,2018,May,180.96
Central,Office Supplies,Envelopes,2018,November,83.08800000000001
Central,Office Supplies,Envelopes,2018,October,25.752000000000002
Central,Office Supplies,Envelopes,2018,September,191.256
Central,Office Supplies,Fasteners,2015,December,2.896
Central,Office Supplies,Fasteners,2015,July,10.028
Central,Office Supplies,Fasteners,2015,June,27.392000000000003
Central,Office Supplies,Fasteners,2015,March,18.84
Central,Office Supplies,Fasteners,2015,May,5.472
Central,Office Supplies,Fasteners,2015,November,12.624
Central,Office Supplies,Fasteners,2015,October,19.416
Central,Office Supplies,Fasteners,2015,September,19.208
Central,Office Supplies,Fasteners,2016,April,5.84
Central,Office Supplies,Fasteners,2016,August,12.032
Central,Office Supplies,Fasteners,2016,December,8.528
Central,Office Supplies,Fasteners,2016,February,5.81
Central,Office Supplies,Fasteners,2016,July,14.432
Central,Office Supplies,Fasteners,2016,March,25.968
Central,Office Supplies,Fasteners,2016,May,16.0
Central,Office Supplies,Fasteners,2017,April,37.09
Central,Office Supplies,Fasteners,2017,August,11.168
Central,Office Supplies,Fasteners,2017,December,24.85
Central,Office Supplies,Fasteners,2017,February,6.976
Central,Office Supplies,Fasteners,2017,July,23.072000000000003
Central,Office Supplies,Fasteners,2017,March,2.304
Central,Office Supplies,Fasteners,2017,May,7.896
Central,Office Supplies,Fasteners,2017,November,62.712
Central,Office Supplies,Fasteners,2017,October,25.248
Central,Office Supplies,Fasteners,2017,September,46.058
Central,Office Supplies,Fasteners,2018,August,35.0
Central,Office Supplies,Fasteners,2018,December,55.842
Central,Office Supplies,Fasteners,2018,February,18.368
Central,Office Supplies,Fasteners,2018,January,15.12
Central,Office Supplies,Fasteners,2018,July,2.896
Central,Office Supplies,Fasteners,2018,March,7.9
Central,Office Supplies,Fasteners,2018,May,32.784
Central,Office Supplies,Fasteners,2018,November,77.352
Central,Office Supplies,Fasteners,2018,September,72.44800000000001
Central,Office Supplies,Labels,2015,December,3.69
Central,Office Supplies,Labels,2015,February,21.875999999999998
Central,Office Supplies,Labels,2015,January,11.784
Central,Office Supplies,Labels,2015,June,591.79
Central,Office Supplies,Labels,2015,May,21.56
Central,Office Supplies,Labels,2015,November,228.724
Central,Office Supplies,Labels,2015,October,29.352
Central,Office Supplies,Labels,2015,September,123.75999999999999
Central,Office Supplies,Labels,2016,April,75.18
Central,Office Supplies,Labels,2016,August,80.67
Central,Office Supplies,Labels,2016,December,2.61
Central,Office Supplies,Labels,2016,February,40.096
Central,Office Supplies,Labels,2016,July,6.264
Central,Office Supplies,Labels,2016,June,33.518
Central,Office Supplies,Labels,2016,May,27.15
Central,Office Supplies,Labels,2016,November,31.520000000000003
Central,Office Supplies,Labels,2016,September,7.5
Central,Office Supplies,Labels,2017,April,15.712
Central,Office Supplies,Labels,2017,August,62.790000000000006
Central,Office Supplies,Labels,2017,December,57.312
Central,Office Supplies,Labels,2017,July,24.96
Central,Office Supplies,Labels,2017,June,18.9
Central,Office Supplies,Labels,2017,May,5.04
Central,Office Supplies,Labels,2017,November,129.146
Central,Office Supplies,Labels,2017,October,109.764
Central,Office Supplies,Labels,2017,September,87.626
Central,Office Supplies,Labels,2018,April,33.12
Central,Office Supplies,Labels,2018,August,230.95999999999998
Central,Office Supplies,Labels,2018,December,61.06
Central,Office Supplies,Labels,2018,January,17.52
Central,Office Supplies,Labels,2018,July,34.85
Central,Office Supplies,Labels,2018,June,44.4
Central,Office Supplies,Labels,2018,March,32.452
Central,Office Supplies,Labels,2018,May,13.216
Central,Office Supplies,Labels,2018,November,67.96
Central,Office Supplies,Labels,2018,October,6.16
Central,Office Supplies,Labels,2018,September,45.544
Central,Office Supplies,Paper,2015,April,102.976
Central,Office Supplies,Paper,2015,August,46.552
Central,Office Supplies,Paper,2015,December,340.312
Central,Office Supplies,Paper,2015,February,16.176
Central,Office Supplies,Paper,2015,January,27.008000000000003
Central,Office Supplies,Paper,2015,July,86.976
Central,Office Supplies,Paper,2015,June,163.464
Central,Office Supplies,Paper,2015,March,116.216
Central,Office Supplies,Paper,2015,May,32.672000000000004
Central,Office Supplies,Paper,2015,November,592.912
Central,Office Supplies,Paper,2015,October,421.01599999999996
Central,Office Supplies,Paper,2015,September,334.496
Central,Office Supplies,Paper,2016,April,140.976
Central,Office Supplies,Paper,2016,August,115.248
Central,Office Supplies,Paper,2016,December,847.9319999999999
Central,Office Supplies,Paper,2016,February,9.54
Central,Office Supplies,Paper,2016,January,77.532
Central,Office Supplies,Paper,2016,July,156.508
Central,Office Supplies,Paper,2016,June,140.928
Central,Office Supplies,Paper,2016,March,173.736
Central,Office Supplies,Paper,2016,May,363.784
Central,Office Supplies,Paper,2016,November,1246.482
Central,Office Supplies,Paper,2016,October,128.288
Central,Office Supplies,Paper,2016,September,77.7
Central,Office Supplies,Paper,2017,April,19.936
Central,Office Supplies,Paper,2017,August,371.13599999999997
Central,Office Supplies,Paper,2017,December,369.964
Central,Office Supplies,Paper,2017,February,5.184
Central,Office Supplies,Paper,2017,January,197.984
Central,Office Supplies,Paper,2017,July,533.93
Central,Office Supplies,Paper,2017,June,1045.174
Central,Office Supplies,Paper,2017,March,186.05599999999998
Central,Office Supplies,Paper,2017,May,1376.538
Central,Office Supplies,Paper,2017,November,598.47
Central,Office Supplies,Paper,2017,October,170.984
Central,Office Supplies,Paper,2017,September,434.072
Central,Office Supplies,Paper,2018,April,158.16
Central,Office Supplies,Paper,2018,August,410.512
Central,Office Supplies,Paper,2018,December,939.252
Central,Office Supplies,Paper,2018,February,490.168
Central,Office Supplies,Paper,2018,January,368.37
Central,Office Supplies,Paper,2018,July,587.304
Central,Office Supplies,Paper,2018,June,422.854
Central,Office Supplies,Paper,2018,March,837.4200000000001
Central,Office Supplies,Paper,2018,May,316.696
Central,Office Supplies,Paper,2018,November,826.418
Central,Office Supplies,Paper,2018,October,232.002
Central,Office Supplies,Paper,2018,September,526.9739999999999
Central,Office Supplies,Storage,2015,April,836.388
Central,Office Supplies,Storage,2015,August,838.38
Central,Office Supplies,Storage,2015,December,576.824
Central,Office Supplies,Storage,2015,February,77.58399999999999
Central,Office Supplies,Storage,2015,January,583.236
Central,Office Supplies,Storage,2015,July,995.2479999999999
Central,Office Supplies,Storage,2015,June,1339.958
Central,Office Supplies,Storage,2015,March,396.204
Central,Office Supplies,Storage,2015,May,214.832
Central,Office Supplies,Storage,2015,November,2858.752
Central,Office Supplies,Storage,2015,October,1211.06
Central,Office Supplies,Storage,2015,September,1032.224
Central,Office Supplies,Storage,2016,April,244.856
Central,Office Supplies,Storage,2016,August,1778.98
Central,Office Supplies,Storage,2016,December,505.336
Central,Office Supplies,Storage,2016,February,670.752
Central,Office Supplies,Storage,2016,July,742.056
Central,Office Supplies,Storage,2016,June,253.48
Central,Office Supplies,Storage,2016,March,189.984
Central,Office Supplies,Storage,2016,November,3755.17
Central,Office Supplies,Storage,2016,September,190.86
Central,Office Supplies,Storage,2017,April,2069.968
Central,Office Supplies,Storage,2017,August,780.394
Central,Office Supplies,Storage,2017,December,323.23
Central,Office Supplies,Storage,2017,July,2885.848
Central,Office Supplies,Storage,2017,June,238.576
Central,Office Supplies,Storage,2017,March,12.992
Central,Office Supplies,Storage,2017,May,2235.392
Central,Office Supplies,Storage,2017,November,2302.716
Central,Office Supplies,Storage,2017,October,386.28000000000003
Central,Office Supplies,Storage,2017,September,1576.116
Central,Office Supplies,Storage,2018,April,394.664
Central,Office Supplies,Storage,2018,August,550.44
Central,Office Supplies,Storage,2018,December,1718.7779999999998
Central,Office Supplies,Storage,2018,February,50.352
Central,Office Supplies,Storage,2018,January,844.864
Central,Office Supplies,Storage,2018,July,1401.396
Central,Office Supplies,Storage,2018,June,1123.6299999999999
Central,Office Supplies,Storage,2018,March,500.00800000000004
Central,Office Supplies,Storage,2018,May,2371.42
Central,Office Supplies,Storage,2018,November,1698.8600000000001
Central,Office Supplies,Storage,2018,October,1710.394
Central,Office Supplies,Storage,2018,September,938.958
Central,Office Supplies,Supplies,2015,December,2.92
Central,Office Supplies,Supplies,2015,November,57.368
Central,Office Supplies,Supplies,2015,October,22.24
Central,Office Supplies,Supplies,2015,September,357.93
Central,Office Supplies,Supplies,2016,August,54.72
Central,Office Supplies,Supplies,2016,December,5.888
Central,Office Supplies,Supplies,2016,July,52.59
Central,Office Supplies,Supplies,2016,May,22.368
Central,Office Supplies,Supplies,2016,November,49.64
Central,Office Supplies,Supplies,2016,October,70.12
Central,Office Supplies,Supplies,2016,September,69.12
Central,Office Supplies,Supplies,2017,August,292.064
Central,Office Supplies,Supplies,2017,December,20.568
Central,Office Supplies,Supplies,2017,July,13.344
Central,Office Supplies,Supplies,2017,March,3930.072
Central,Office Supplies,Supplies,2017,October,21.96
Central,Office Supplies,Supplies,2017,September,16.9
Central,Office Supplies,Supplies,2018,August,64.602
Central,Office Supplies,Supplies,2018,December,44.688
Central,Office Supplies,Supplies,2018,January,4195.7300000000005
Central,Office Supplies,Supplies,2018,June,34.944
Central,Office Supplies,Supplies,2018,March,6.976
Central,Office Supplies,Supplies,2018,May,22.344
Central,Office Supplies,Supplies,2018,November,36.532
Central,Office Supplies,Supplies,2018,September,1.744
Central,Technology,Accessories,2015,April,227.976
Central,Technology,Accessories,2015,August,21.2
Central,Technology,Accessories,2015,December,724.514
Central,Technology,Accessories,2015,February,531.21
Central,Technology,Accessories,2015,January,31.2
Central,Technology,Accessories,2015,July,457.946
Central,Technology,Accessories,2015,June,63.984
Central,Technology,Accessories,2015,March,79.984
Central,Technology,Accessories,2015,May,125.75999999999999
Central,Technology,Accessories,2015,November,311.488
Central,Technology,Accessories,2015,October,441.92400000000004
Central,Technology,Accessories,2015,September,820.008
Central,Technology,Accessories,2016,April,592.52
Central,Technology,Accessories,2016,August,114.52
Central,Technology,Accessories,2016,December,1377.278
Central,Technology,Accessories,2016,February,809.2
Central,Technology,Accessories,2016,January,398.4
Central,Technology,Accessories,2016,July,831.2
Central,Technology,Accessories,2016,June,44.275999999999996
Central,Technology,Accessories,2016,March,131.912
Central,Technology,Accessories,2016,May,207.984
Central,Technology,Accessories,2016,November,1442.1480000000001
Central,Technology,Accessories,2016,October,1360.254
Central,Technology,Accessories,2016,September,485.536
Central,Technology,Accessories,2017,April,690.624
Central,Technology,Accessories,2017,August,3019.504
Central,Technology,Accessories,2017,December,308.5
Central,Technology,Accessories,2017,January,195.68
Central,Technology,Accessories,2017,July,125.52600000000001
Central,Technology,Accessories,2017,June,166.60399999999998
Central,Technology,Accessories,2017,March,1403.1100000000001
Central,Technology,Accessories,2017,May,314.128
Central,Technology,Accessories,2017,November,1429.926
Central,Technology,Accessories,2017,October,2027.318
Central,Technology,Accessories,2017,September,997.044
Central,Technology,Accessories,2018,April,299.052
Central,Technology,Accessories,2018,August,303.004
Central,Technology,Accessories,2018,December,1622.962
Central,Technology,Accessories,2018,February,175.888
Central,Technology,Accessories,2018,January,730.5260000000001
Central,Technology,Accessories,2018,July,949.6700000000001
Central,Technology,Accessories,2018,June,132.52
Central,Technology,Accessories,2018,March,311.748
Central,Technology,Accessories,2018,May,408.744
Central,Technology,Accessories,2018,November,730.442
Central,Technology,Accessories,2018,October,957.23
Central,Technology,Accessories,2018,September,3810.13
Central,Technology,Copiers,2015,August,549.99
Central,Technology,Copiers,2015,May,719.976
Central,Technology,Copiers,2015,October,1999.96
Central,Technology,Copiers,2016,April,2039.948
Central,Technology,Copiers,2016,August,2799.96
Central,Technology,Copiers,2016,December,5899.91
Central,Technology,Copiers,2016,November,1589.972
Central,Technology,Copiers,2016,October,479.976
Central,Technology,Copiers,2017,October,17499.95
Central,Technology,Copiers,2018,March,3359.944
Central,Technology,Copiers,2018,September,319.984
Central,Technology,Machines,2015,June,418.8
Central,Technology,Machines,2015,March,574.91
Central,Technology,Machines,2015,November,998.85
Central,Technology,Machines,2015,September,14299.602
Central,Technology,Machines,2016,December,600.53
Central,Technology,Machines,2016,May,399.54
Central,Technology,Machines,2016,November,851.798
Central,Technology,Machines,2017,June,1007.979
Central,Technology,Machines,2017,March,287.91
Central,Technology,Machines,2017,September,1362.9
Central,Technology,Machines,2018,August,1439.982
Central,Technology,Machines,2018,January,3410.955
Central,Technology,Machines,2018,July,597.132
Central,Technology,Machines,2018,March,209.986
Central,Technology,Machines,2018,September,336.51
Central,Technology,Phones,2015,April,758.352
Central,Technology,Phones,2015,August,299.98
Central,Technology,Phones,2015,December,1426.016
Central,Technology,Phones,2015,July,650.22
Central,Technology,Phones,2015,June,209.576
Central,Technology,Phones,2015,March,251.944
Central,Technology,Phones,2015,May,100.792
Central,Technology,Phones,2015,November,1302.3220000000001
Central,Technology,Phones,2015,October,4469.828
Central,Technology,Phones,2015,September,456.722
Central,Technology,Phones,2016,April,593.662
Central,Technology,Phones,2016,August,1231.94
